conversation_id,customer_tweet_id,customer_message,customer_message_clean,match_category,stage1_proposed_intent,training_label,label_source,llm_reasoning,created_at
13460,13460,"""Alexa, häng die Wäsche auf"" ?! 🤔
#Amazon #Ariel #AmazonEcho https://t.co/Cav3Pli81W","""Alexa, häng die Wäsche auf"" ?! 🤔 #Amazon #Ariel #AmazonEcho",single_match,device_digital_content,device_digital_content,stage1_rule,High-confidence single rule match,Fri Dec 01 06:07:38 +0000 2017
64173,64171,"@AmazonHelp There is nothing i can see from ur side.
No contact from customer care.
Now it is really disgusting.",There is nothing i can see from ur side. No contact from customer care. Now it is really disgusting.,single_match,service_complaint,service_complaint,stage1_rule,High-confidence single rule match,Fri Dec 01 07:48:35 +0000 2017
69933,69892,@AmazonHelp It’s been 5 days &amp; there in no revert :(,It’s been 5 days &amp; there in no revert :(,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Dec 01 08:19:34 +0000 2017
15447,15442,@AmazonHelp Hey so my package has not arrived yet. Can I get this sorted please,Hey so my package has not arrived yet. Can I get this sorted please,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Fri Dec 01 14:03:26 +0000 2017
30544,30540,@AmazonHelp And the ritual continues. Once again a call now asking for pick up while pick up slot is 1-4.Iam sure the pick up will be rescheduled again,And the ritual continues. Once again a call now asking for pick up while pick up slot is 1-4.Iam sure the pick up will be rescheduled again,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Fri Nov 03 02:33:06 +0000 2017
35147,35149,@AmazonHelp Yes many times since yesterday however am getting very little help and the return pick is getting rescheduled every time,Yes many times since yesterday however am getting very little help and the return pick is getting rescheduled every time,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Fri Nov 03 09:27:21 +0000 2017
32318,32317,@AmazonHelp ok i will change the address to somewhere your pick is available but by 12 nov. also it is not feasible for me to self-return as,ok i will change the address to somewhere your pick is available but by 12 nov. also it is not feasible for me to self-return as,single_match,refund_return,refund_return,stage1_rule,High-confidence single rule match,Fri Nov 03 11:16:32 +0000 2017
25321,25321,amazonプライムビデオ開いたら懐かしいの見つけちゃって、ついつい観てしまった。 https://t.co/qX2xS64sFn,amazonプライムビデオ開いたら懐かしいの見つけちゃって、ついつい観てしまった。,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Nov 03 19:41:53 +0000 2017
25293,25293,@AmazonHelp where is my order? I paid for 1 day delivery yesterday and no notification to say to pick it up at the pick up point.,where is my order? I paid for 1 day delivery yesterday and no notification to say to pick it up at the pick up point.,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Fri Nov 03 20:23:07 +0000 2017
23961,23966,@AmazonHelp I have sent an email as the same thing happened to me today. The delivery attempt was never made.,I have sent an email as the same thing happened to me today. The delivery attempt was never made.,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Fri Nov 03 20:34:42 +0000 2017
25293,25291,@AmazonHelp  https://t.co/1dmMd2wSOv,,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Nov 03 23:20:22 +0000 2017
25283,25283,@115821 why won't my card work? I have money in the bank,why won't my card work? I have money in the bank,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Nov 03 23:53:07 +0000 2017
25309,25308,@115766 @115821 You gave me $5 and made me call USPS. 👎,You gave me $5 and made me call USPS. 👎,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Nov 03 23:58:17 +0000 2017
36582,36601,"@AmazonHelp @115850

You guys have pathetic after sales service..

No doubt about it",You guys have pathetic after sales service.. No doubt about it,single_match,service_complaint,service_complaint,stage1_rule,High-confidence single rule match,Fri Nov 10 04:57:18 +0000 2017
47942,47944,@AmazonHelp Contacted my bank and they were unable to track the refund using the refund reference code given by Amazon.,Contacted my bank and they were unable to track the refund using the refund reference code given by Amazon.,single_match,refund_return,refund_return,stage1_rule,High-confidence single rule match,Fri Nov 17 10:06:00 +0000 2017
69750,69750,J’espère que les #cm après le #blackfriday ont le droit à un week-end tout frais payés au Bahamas. Bon courage à vous si vous me lisez💪.  @7665 @131800 @120533 et tous les autres 🙂 https://t.co/peSQKdaSRA,J’espère que les #cm après le #blackfriday ont le droit à un week-end tout frais payés au Bahamas. Bon courage à vous si vous me lisez💪. et tous les autres 🙂,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Nov 24 00:42:41 +0000 2017
69750,69742,"@AmazonHelp C’est pas faux, on a pas l’habitude au soleil dans notre département , la pluie et notre seul alliés lol vous pensez à tout 😋 indice 50+ https://t.co/ZbtiQlyR8L","C’est pas faux, on a pas l’habitude au soleil dans notre département , la pluie et notre seul alliés lol vous pensez à tout 😋 indice 50+",zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Nov 24 09:15:12 +0000 2017
69750,69736,"@AmazonHelp Si il y a de la place, je les prends 😊 oui bien sûr ce sont mes petites et pas de soucis","Si il y a de la place, je les prends 😊 oui bien sûr ce sont mes petites et pas de soucis",zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Nov 24 11:10:32 +0000 2017
17263,17263,"@115850 last time i seek assistance n the same issue prevail today. whn you cnt gv service thn say no, why giving headache 2 customers?","last time i seek assistance n the same issue prevail today. whn you cnt gv service thn say no, why giving headache 2 customers?",zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Oct 20 11:06:53 +0000 2017
17263,17258,@AmazonHelp whts benefit? chatted wth 1 of ur executive. aprt fr4 Sorry n Apology he has nothing 2 offer. if u cn do something better thn reply or leave,whts benefit? chatted wth 1 of ur executive. aprt fr4 Sorry n Apology he has nothing 2 offer. if u cn do something better thn reply or leave,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Fri Oct 20 11:46:06 +0000 2017
19209,19209,"@115850  ordered #Redmi4 OrderId 407-0938237-9516324.. not yet delivrd
pathetic service from #Amazon",ordered #Redmi4 OrderId 407-0938237-9516324.. not yet delivrd pathetic service from #Amazon,single_match,service_complaint,service_complaint,stage1_rule,High-confidence single rule match,Fri Oct 27 05:15:35 +0000 2017
9807,9807,"@115821 , #fake I phone 7 received from amazon , order India - order ID: 171-8960684-6076325, amazon India has refused to replace @115850 https://t.co/iHDriblZw9",", #fake I phone 7 received from amazon , order India - order ID: 171-8960684-6076325, amazon India has refused to replace",single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Fri Oct 27 05:26:32 +0000 2017
24986,24979,"@AmazonHelp receiving same mails 4m u no resolution yet. I CANNOT trust a company that gives me unboxed product, I will NOT opt for replacement...","receiving same mails 4m u no resolution yet. I CANNOT trust a company that gives me unboxed product, I will NOT opt for replacement...",single_match,refund_return,refund_return,stage1_rule,High-confidence single rule match,Fri Oct 27 06:15:24 +0000 2017
19209,19205,@AmazonHelp pl do...i am already fed up with the service...considering returning the order.,pl do...i am already fed up with the service...considering returning the order.,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Fri Oct 27 06:46:19 +0000 2017
65655,65649,@AmazonHelp @131027 I called amzoncall center there staff are misbehaving and cutting the call.please let me know i will get my money or not .@115851,I called amzoncall center there staff are misbehaving and cutting the call.please let me know i will get my money or not .,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Mon Jun 26 07:25:54 +0000 2017
65655,65625,@AmazonHelp @115851 je@amzon CEO i read out your mail .no timeline given when pick up will be done and when amount will returened,je CEO i read out your mail .no timeline given when pick up will be done and when amount will returened,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Mon Jun 26 10:59:26 +0000 2017
65655,65626,@AmazonHelp @131027 @115851 je @3644 please help these customers support is not helping and giving false response https://t.co/QP43u5oq8o,je please help these customers support is not helping and giving false response,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Mon Jun 26 12:07:45 +0000 2017
56830,56835,@AmazonHelp 4 days since form filled! no updates since then. Shows how much you guys are concerned! Y waste our time by filling dse forms then?,4 days since form filled! no updates since then. Shows how much you guys are concerned! Y waste our time by filling dse forms then?,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Mon Nov 06 06:43:59 +0000 2017
56830,56837,@AmazonHelp Only received a scripted copy&gt;pasted reply on this. 5 days ago. No actions or updates since then.,Only received a scripted copy&gt;pasted reply on this. 5 days ago. No actions or updates since then.,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Mon Nov 06 07:14:30 +0000 2017
46489,46488,@AmazonHelp No not @ all! I was hung up on x2 by CS &amp; was not told why/how they tried 2 deliver. Bad service &amp; Amazon basically washed there hands of me,No not @ all! I was hung up on x2 by CS &amp; was not told why/how they tried 2 deliver. Bad service &amp; Amazon basically washed there hands of me,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Mon Nov 06 22:36:00 +0000 2017
23038,23040,@AmazonHelp Nothing in spam inbox. Got no answer. It’s a waste of time. Very disappointing,Nothing in spam inbox. Got no answer. It’s a waste of time. Very disappointing,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Mon Nov 27 10:59:10 +0000 2017
16796,16792,"@AmazonHelp All m getting is apologies but no refund.. everything is online, unable to understand the delay!!","All m getting is apologies but no refund.. everything is online, unable to understand the delay!!",multi_match,refund_return,refund_return,llm_gemini,The customer is expressing frustration over a delayed or missing refund that has not been credited.,Mon Oct 16 03:58:14 +0000 2017
16796,16790,"@AmazonHelp Last mail rec'd on 09.10.2017 stating refund will be in my account by 14.10.2017
Bt same not rec'd.",Last mail rec'd on 09.10.2017 stating refund will be in my account by 14.10.2017 Bt same not rec'd.,single_match,refund_return,refund_return,stage1_rule,High-confidence single rule match,Mon Oct 16 04:34:47 +0000 2017
24986,24986,@AmazonHelp order 406-5346056-8286767 I want a refund for the product. https://t.co/CKTsoBPMgb,order 406-5346056-8286767 I want a refund for the product.,single_match,refund_return,refund_return,stage1_rule,High-confidence single rule match,Mon Oct 23 11:03:26 +0000 2017
11590,11590,@115851 my Amazonid is __email__ is blocked since 3months please unblock it.,my Amazonid is __email__ is blocked since 3months please unblock it.,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Mon Oct 30 03:30:32 +0000 2017
26979,26979,@115850 pathetic service amazon India. Made a mistake by selecting amazon.,pathetic service amazon India. Made a mistake by selecting amazon.,single_match,service_complaint,service_complaint,stage1_rule,High-confidence single rule match,Mon Oct 30 03:41:49 +0000 2017
15700,15700,Hey @115850 @AmazonHelp I need an update on my refund! Can you help?,Hey I need an update on my refund! Can you help?,single_match,refund_return,refund_return,stage1_rule,High-confidence single rule match,Mon Oct 30 05:51:24 +0000 2017
26979,26975,@AmazonHelp can someone from your team call me.,can someone from your team call me.,single_match,service_complaint,service_complaint,stage1_rule,High-confidence single rule match,Mon Oct 30 05:51:56 +0000 2017
26979,26971,@AmazonHelp tried but it's not happening. This is what is service level. When someone asking for call back you guys showing different way,tried but it's not happening. This is what is service level. When someone asking for call back you guys showing different way,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Mon Oct 30 05:58:25 +0000 2017
15700,15698,@AmazonHelp Hi. This is where I'm stuck. When will you initiate the pick up? https://t.co/bVTocnrC1k,Hi. This is where I'm stuck. When will you initiate the pick up?,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Mon Oct 30 05:58:37 +0000 2017
15692,15692,"Haven't received my refund, it's been more than a week @115850","Haven't received my refund, it's been more than a week",single_match,refund_return,refund_return,stage1_rule,High-confidence single rule match,Mon Oct 30 09:42:21 +0000 2017
19439,19439,@115821 Today my product delivery but delivery boy is not coming Arriving early: Dell KM117 Wireless Keyboard Mouse will be delivered by Amz,Today my product delivery but delivery boy is not coming Arriving early: Dell KM117 Wireless Keyboard Mouse will be delivered by Amz,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Mon Oct 30 10:58:57 +0000 2017
24999,24999,@115821 Deducting $10.99 from my credit card every month. Tried reaching you on your toll-free number but no help.,Deducting $10.99 from my credit card every month. Tried reaching you on your toll-free number but no help.,single_match,payment_billing,payment_billing,stage1_rule,High-confidence single rule match,Mon Oct 30 13:00:53 +0000 2017
34558,34552,@AmazonHelp Order is dispatched yet Prime not activated.,Order is dispatched yet Prime not activated.,single_match,delivery_order_status,delivery_order_status,stage1_rule,High-confidence single rule match,Mon Oct 30 15:45:58 +0000 2017
24999,24996,@AmazonHelp There was no way I could communicate that I never subscribed for a prime membership on your dot com website.,There was no way I could communicate that I never subscribed for a prime membership on your dot com website.,single_match,prime_membership,prime_membership,stage1_rule,High-confidence single rule match,Mon Oct 30 16:22:13 +0000 2017
36582,36582,"@115850

When will the packet will get collected and refund sent back to account.. https://t.co/HlgruNCSDB",When will the packet will get collected and refund sent back to account..,single_match,refund_return,refund_return,stage1_rule,High-confidence single rule match,Mon Oct 30 17:39:30 +0000 2017
69933,69895,@AmazonHelp @115850 @119625 No solution yet. Disappointed!😔😣 https://t.co/2EaOYwTQMj,No solution yet. Disappointed!😔😣,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Sat Dec 02 11:17:45 +0000 2017
69933,69900,@AmazonHelp I haven’t got any reply yet!,I haven’t got any reply yet!,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Sat Dec 02 11:32:03 +0000 2017
69933,69905,@AmazonHelp Sending in the screenshot via DM. Please check!,Sending in the screenshot via DM. Please check!,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Sat Dec 02 12:44:54 +0000 2017
41496,41496,@AmazonHelp --hi i want to lease out my place to amazon for PUDO pls suggest the concerned person,--hi i want to lease out my place to amazon for PUDO pls suggest the concerned person,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Sat Feb 04 07:23:20 +0000 2017
25309,25306,@AmazonHelp Wasn’t even brought up. I called and used the chat. Very disappointed.,Wasn’t even brought up. I called and used the chat. Very disappointed.,zero_match,other,other,stage1_sampled_other,Sampled zero-match other,Sat Nov 04 00:09:35 +0000 2017
