example_id,conversation_id,customer_tweet_id,customer_message,gold_intent,label_notes,suggested_intent,length_bucket,is_near_duplicate_of
g001,72006,71998,@AmazonHelp Thank you Amazon. I just received a call from Costa Rica. The person was very helpful and has taken my concerns. I truly appreciate your gesture. I hope the echo improves fast so that I can enjoy it. Very grateful indeed!,account_access,,other,long,
g002,21045,21063,"@AmazonHelp I have not recieved a mail. I cannot reply to a mythical mail, right?",other,,other,medium,
g003,21485,21852,@AmazonHelp I attached the snapshot of that,other,,other,short,
g004,37613,37605,@AmazonHelp I will escalate this to highest authorities. What a pain this has been! Have already shared all data and called 10 times.,service_complaint,,service_complaint,medium,
g005,18945,18960,@AmazonHelp I want a proper resolution here...,service_complaint,,other,short,
g006,30024,30011,@AmazonHelp I've been reaching out directly to your Vendor Central support staff for nearly 2 years. Problem remains unsolved.,seller_marketplace,,seller_marketplace,medium,
g007,30024,30012,@AmazonHelp Perhaps you can get me the callback I've been asking for for the last 2 months from a Vendor Management Team Member? Happy to DM phone# 1/2,service_complaint,,other,long,
g008,25259,25254,@AmazonHelp It’s from a seller,seller_marketplace,,seller_marketplace,short,
g009,25927,25906,@AmazonHelp There is no provision to make a reply...Why aren't you replying my question on amazon pay balance??? @115851 - #amazonsucks,payment_billing,,other,medium,
g010,25927,25912,@AmazonHelp I have replied and emailed and web posted....enough...you go trace it out. #amazonsucks @115851,service_complaint,,service_complaint,medium,
g011,42519,42519,@115821 was expecting 2 packages by 16/10/17 - still not received. Ordered 10/10/17. Can you help?,delivery_order_status,,delivery_order_status,medium,
g012,11085,11084,"@AmazonHelp So much of the programming has changed on Prime. Blues Clues was free, now it's not. Still constantly having problems with my Fire Stick.",delivery_order_status,,device_digital_content,long,
g013,28907,28928,@AmazonHelp __email__ is my register email id..it is bloked not repsse by ur https://t.co/9WDCBaW4P6 stuck,other,,other,medium,
g014,16824,16824,@115821 @115850 @AmazonHelp req a replace for one of my purchase it was scheduled for today between 10 to 1 its 3 no one has come #help,other,,other,medium,
g015,4859,4859,@AmazonHelp Im not receiving 2step code by text or call in my smartphone can't log in into my account already got help by phone with no luck,account_access,,account_access,medium,
g016,73543,74592,"@AmazonHelp Many thanks for the generic automated correspondence. After paying more than Rs.14,000 and receiving a box of trash, I would have expected bit more support that just asking me to wait longer.",other,,other,long,
g017,73543,74602,"@AmazonHelp @115850 @115821 so as per your help team, if a seller packs trash and sends to a customer then it's fine and he is not liable. As long as the packaging is good and product is received in tact, the customer is at risk of receiving trash. Pathetic customer service.",seller_marketplace,,seller_marketplace,long,
g018,33231,33239,@AmazonHelp What is the definition of ur earliest?,other,,other,short,
g019,5323,5322,@116935 Will I be forced to listen to ads on Amazon Music Unlimited the way I'm now forced to view them on @530?,device_digital_content,,device_digital_content,medium,
g020,5159,5156,@115850 @115850 is one of the best app in the world,other,,other,short,
g021,62386,62392,"@AmazonHelp Funcionáis mejor que Netflix, con un peering mejor y American Gods está a la altura de series míticas como Sense8, y encima gratis con la suscripción de Prime, o sea un feedback de 10/10.",other,,other,long,
g022,62368,62370,@AmazonHelp Amazon Restaurants? This has nothing to do w/ Amazon Restaurants. This has to do w/ your carrier service failing miserably TWICE.,other,,other,long,
g023,64002,64002,@115850 Cash loaded in AmazonPay on 13th Nov still not reflecting. Where is my money? GIVE ME MY MONEY #amazonpayfraud #amazonfraud @115851 #stupidcustomerservice,device_digital_content,,delivery_order_status,long,
g024,12549,12538,@AmazonHelp I have replied dozen of times first check then reply. So silly,other,,other,medium,
g025,15304,15302,@AmazonHelp I have inked in detail at the given URL...hope to see some useful action,other,,other,medium,
g026,58128,58119,@AmazonHelp Can I please have the email or phone number for executive complaints?  I’ve talked to multiple people in your company. This is pointless,service_complaint,,service_complaint,long,
g027,52193,52192,@AmazonHelp Does the digital pre order also get the bonus?,other,,other,short,
g028,18941,18908,@AmazonHelp In the last four days U people are not able to arrange the pick up??? Is there any time limit for this to solve the issue???,delivery_order_status,,delivery_order_status,medium,
g029,58768,58772,@AmazonHelp Done. Still not arrived. Not expecting it to. How disappointing Amazon,delivery_order_status,,delivery_order_status,medium,
g030,58768,58774,@AmazonHelp Just now - yes. I sent a message. But shouldn't have to!!!,other,,other,medium,
g031,16882,16889,@AmazonHelp I already replied on mails...u people just wasting time nothing else.. no action has been taken against seller n brand...as a compensation,seller_marketplace,,seller_marketplace,long,
g032,59541,59544,@AmazonHelp @AmazonHelp Still no sign of my item that should have arrived Wednesday....not impressed,delivery_order_status,,delivery_order_status,medium,
g033,49913,49952,"@AmazonHelp Didn’t get any mail on this, already checked",other,,other,short,
g034,59541,59546,@AmazonHelp To message the courier &amp; hope they pick it up tomorrow &amp; deliver (3 days late) &amp; a free month prime membership...which doesn't deliver item!,prime_membership,,prime_membership,long,
g035,25927,25901,@AmazonHelp Still no reply...my complaint is still pending,service_complaint,,service_complaint,short,
g036,48907,48895,"@AmazonHelp Sorry, für das was da kam?! Kenne die gar nicht! 😅🙈",other,,other,medium,
g037,69961,69961,@115850 myself Arun Choubey mob-9937045729 __email__. I have returned my product (samsung galax tab) of rs 47990/- on 03.10.17 but till date no refund credited. kindly short out the issue.It is very harrasing by the company.,refund_return,,refund_return,long,
g038,65675,65669,@AmazonHelp already contacted your customer support team.. they are of no help..if u cant call then arrange for a call from your senior management. @115851 I guess atleast this you get it done,service_complaint,,service_complaint,long,
g039,64190,64190,@115850 HELP !,other,,other,short,
g040,64190,64187,@AmazonHelp I had placed an order a few days ago which I wanna replace. The problem is the order is vanished from the order section of my account. Help.,delivery_order_status,,delivery_order_status,long,
