conversation_id,customer_tweet_id,customer_message,customer_message_clean,brand_reply_id,brand_reply,created_at,customer_id,brand,n_brand_replies_to_message,is_duplicate_text,proposed_intent,matched_rules,match_count,match_category,training_label,matched_rules_str
13460,13460,"""Alexa, häng die Wäsche auf"" ?! 🤔
#Amazon #Ariel #AmazonEcho https://t.co/Cav3Pli81W","""Alexa, häng die Wäsche auf"" ?! 🤔 #Amazon #Ariel #AmazonEcho",13459,"@118798 😃... das wäre toll! Soweit ist sie aber noch nicht. Wird eher in die Richtung ""Hey, deine Wäsche ist fertig! Zack zack, aufhängen!"" gehen. ^TG",Fri Dec 01 06:07:38 +0000 2017,118798,AmazonHelp,1,False,device_digital_content,['device_digital_content'],1,single_match,device_digital_content,device_digital_content
64173,64171,"@AmazonHelp There is nothing i can see from ur side.
No contact from customer care.
Now it is really disgusting.",There is nothing i can see from ur side. No contact from customer care. Now it is really disgusting.,64172,"@130732 I understand it's taking time, Anshul but please be assured our team is actively working on it and will reach out to you at the earliest. Also, if the response is not up to expectations, kindly reply to the email sent by our team and we'll look into it. ^PB",Fri Dec 01 07:48:35 +0000 2017,130732,AmazonHelp,1,False,service_complaint,['service_complaint'],1,single_match,service_complaint,service_complaint
69933,69892,@AmazonHelp It’s been 5 days &amp; there in no revert :(,It’s been 5 days &amp; there in no revert :(,69893,"@131820 I understand that waiting can be tiresome. As informed earlier, kindly revert to an email sent to you by the Social Media team and we'll get back to you with an update at the earliest. Appreciate your patience and understanding.^EM",Fri Dec 01 08:19:34 +0000 2017,131820,AmazonHelp,1,False,other,[],0,zero_match,other,
15447,15442,@AmazonHelp Hey so my package has not arrived yet. Can I get this sorted please,Hey so my package has not arrived yet. Can I get this sorted please,15445,"@119403 While we can't access order or account details through social media, we'd still like to help! Please reach us directly via phone or chat so we can investigate: https://t.co/JzP7hlA23B ^CS",Fri Dec 01 14:03:26 +0000 2017,119403,AmazonHelp,1,False,delivery_order_status,['delivery_order_status'],1,single_match,delivery_order_status,delivery_order_status
30544,30540,@AmazonHelp And the ritual continues. Once again a call now asking for pick up while pick up slot is 1-4.Iam sure the pick up will be rescheduled again,And the ritual continues. Once again a call now asking for pick up while pick up slot is 1-4.Iam sure the pick up will be rescheduled again,30543,@122720 The details are escalated to the team and we are working on your concern. We'll reach out to you once we have an update. ^GK,Fri Nov 03 02:33:06 +0000 2017,122720,AmazonHelp,1,False,delivery_order_status,['delivery_order_status'],1,single_match,delivery_order_status,delivery_order_status
35147,35149,@AmazonHelp Yes many times since yesterday however am getting very little help and the return pick is getting rescheduled every time,Yes many times since yesterday however am getting very little help and the return pick is getting rescheduled every time,35150,@123653 We regret the inconvenience. Please fill in your details here: https://t.co/GIJyeYqKE0. We’ll look into it. ^SB,Fri Nov 03 09:27:21 +0000 2017,123653,AmazonHelp,1,False,delivery_order_status,['delivery_order_status'],1,single_match,delivery_order_status,delivery_order_status
32318,32317,@AmazonHelp ok i will change the address to somewhere your pick is available but by 12 nov. also it is not feasible for me to self-return as,ok i will change the address to somewhere your pick is available but by 12 nov. also it is not feasible for me to self-return as,32319,@123159 I am afraid that is not how it works. Request you to please self return the order. The Returns Support Centre will 1/2 ^RS,Fri Nov 03 11:16:32 +0000 2017,123159,AmazonHelp,2,False,refund_return,['refund_return'],1,single_match,refund_return,refund_return
25321,25321,amazonプライムビデオ開いたら懐かしいの見つけちゃって、ついつい観てしまった。 https://t.co/qX2xS64sFn,amazonプライムビデオ開いたら懐かしいの見つけちゃって、ついつい観てしまった。,25320,"@121476 |ω・)
見つけちゃいましたか？？
ごゆっくり、観ちゃってください( *• ̀ω•́ )b TY",Fri Nov 03 19:41:53 +0000 2017,121476,AmazonHelp,1,True,other,[],0,zero_match,other,
25293,25293,@AmazonHelp where is my order? I paid for 1 day delivery yesterday and no notification to say to pick it up at the pick up point.,where is my order? I paid for 1 day delivery yesterday and no notification to say to pick it up at the pick up point.,25292,@121470 I am sorry for the wait! What's the latest tracking/delivery date shown in Your Orders here: https://t.co/aaDyEz1VgE. ^LM,Fri Nov 03 20:23:07 +0000 2017,121470,AmazonHelp,1,False,delivery_order_status,['delivery_order_status'],1,single_match,delivery_order_status,delivery_order_status
23961,23966,@AmazonHelp I have sent an email as the same thing happened to me today. The delivery attempt was never made.,I have sent an email as the same thing happened to me today. The delivery attempt was never made.,23967,"@121152 For the fastest resolution, please reach us directly by choosing ""phone"" or ""chat"" when using RS's link, above. ^JR",Fri Nov 03 20:34:42 +0000 2017,121152,AmazonHelp,1,False,delivery_order_status,['delivery_order_status'],1,single_match,delivery_order_status,delivery_order_status
